NAICS_Code,Year,Month,Total_Sales
4532,2015,Jan,2441
45321,2015,Jan,1432
45322,2015,Jan,1009
45330,2015,Jan,1240
454,2015,Jan,39553
4541,2015,Jan,31761
45431,2015,Jan,4493
722,2015,Jan,47960
7224,2015,Jan,1768
7225,2015,Jan,42099
722511,2015,Jan,21846
441,2014,Jan,70382
"4411,4412",2014,Jan,63806
4411,2014,Jan,60619
44111,2014,Jan,54554
44112,2014,Jan,6065
4413,2014,Jan,6576
"442,443",2014,Jan,15225
442,2014,Jan,7201
4421,2014,Jan,3904
4422,2014,Jan,3297
44221,2014,Jan,1260
442299,2014,Jan,1930
443,2014,Jan,8024
443141,2014,Jan,1254
443142,2014,Jan,6770
444,2014,Jan,19922
4441,2014,Jan,17720
44412,2014,Jan,630
44413,2014,Jan,1637
445,2014,Jan,54048
4451,2014,Jan,49165
44511,2014,Jan,47312
4453,2014,Jan,3381
446,2014,Jan,24171
44611,2014,Jan,20634
447,2014,Jan,42140
448,2014,Jan,15179
4481,2014,Jan,11082
44811,2014,Jan,573
44812,2014,Jan,2469
44814,2014,Jan,5704
44819,2014,Jan,1172
4482,2014,Jan,1994
44831,2014,Jan,1904
451,2014,Jan,5953
45111,2014,Jan,2700
45112,2014,Jan,1019
451211,2014,Jan,1482
452,2014,Jan,47308
4521,2014,Jan,10581
452111,2014,Jan,3467
452112,2014,Jan,7114
4529,2014,Jan,36727
45291,2014,Jan,32183
45299,2014,Jan,4544
453,2014,Jan,8137
4532,2014,Jan,2471
45321,2014,Jan,1489
45322,2014,Jan,982
45330,2014,Jan,1121
454,2014,Jan,37657
4541,2014,Jan,27869
45431,2014,Jan,6405
722,2014,Jan,42932
7224,2014,Jan,1665
7225,2014,Jan,37554
722511,2014,Jan,19484
441,2018,Feb,89300
"4411,4412",2018,Feb,82494
4411,2018,Feb,77657
44111,2018,Feb,67860
44112,2018,Feb,9797
4413,2018,Feb,6806
"442,443",2018,Feb,16006
442,2018,Feb,8505
4421,2018,Feb,4794
4422,2018,Feb,3711
442299,2018,Feb,2046
443,2018,Feb,7501
443141,2018,Feb,1222
443142,2018,Feb,6279
444,2018,Feb,24437
4441,2018,Feb,21716
44412,2018,Feb,837
44413,2018,Feb,1790
445,2018,Feb,56682
4451,2018,Feb,51045
44511,2018,Feb,48934
4453,2018,Feb,3993
446,2018,Feb,26155
44611,2018,Feb,21878
447,2018,Feb,35713
448,2018,Feb,18585
4481,2018,Feb,13064
44811,2018,Feb,603
44812,2018,Feb,2697
44814,2018,Feb,7042
44819,2018,Feb,1283
4482,2018,Feb,2633
44831,2018,Feb,2665
451,2018,Feb,5604
45111,2018,Feb,2963
45112,2018,Feb,1127
451211,2018,Feb,689
452,2018,Feb,50488
4521,2018,Feb,9685
452111,2018,Feb,3245
452112,2018,Feb,6440
4529,2018,Feb,40803
45291,2018,Feb,34871
45299,2018,Feb,5932
453,2018,Feb,9398
4532,2018,Feb,2034
45321,2018,Feb,927
45322,2018,Feb,1107
45330,2018,Feb,1479
454,2018,Feb,49564
4541,2018,Feb,42317
45431,2018,Feb,3388
722,2018,Feb,55073
7224,2018,Feb,2148
7225,2018,Feb,47578
722511,2018,Feb,24067
441,2017,Feb,88429
"4411,4412",2017,Feb,81674
4411,2017,Feb,76668
44111,2017,Feb,67173
44112,2017,Feb,9495
4413,2017,Feb,6755
"442,443",2017,Feb,15469
442,2017,Feb,8277
4421,2017,Feb,4624
4422,2017,Feb,3653
44221,2017,Feb,1486
442299,2017,Feb,2001
443,2017,Feb,7192
443141,2017,Feb,1261
443142,2017,Feb,5931
444,2017,Feb,23538
4441,2017,Feb,20831
44412,2017,Feb,801
44413,2017,Feb,1633
445,2017,Feb,54131
4451,2017,Feb,48748
44511,2017,Feb,46687
4453,2017,Feb,3768
446,2017,Feb,25479
44611,2017,Feb,21279
447,2017,Feb,32457
448,2017,Feb,17745
4481,2017,Feb,12497
44811,2017,Feb,574
44812,2017,Feb,2705
44814,2017,Feb,6526
44819,2017,Feb,1406
4482,2017,Feb,2617
44831,2017,Feb,2435
451,2017,Feb,5590
45111,2017,Feb,2990
45112,2017,Feb,1183
451211,2017,Feb,666
452,2017,Feb,48937
4521,2017,Feb,9753
452111,2017,Feb,3377
452112,2017,Feb,6376
4529,2017,Feb,39184
45291,2017,Feb,33630
45299,2017,Feb,5554
