NAICS_Code,Year,Month,Num_Employees
452,2015,Feb,2751.1
452,2016,Feb,2788.2
452,2017,Feb,2805.1
452,2018,Feb,2812.1
452,2019,Feb,2793.9
453,2009,Feb,659.1
453,2010,Feb,631.5
453,2011,Feb,622.2
453,2012,Feb,641.8
453,2013,Feb,649.3
453,2014,Feb,652.7
453,2015,Feb,655.9
453,2016,Feb,658.6
453,2017,Feb,657.6
453,2018,Feb,663.2
453,2019,Feb,674.8
454,2009,Feb,341.4
454,2010,Feb,329.7
454,2011,Feb,339.5
454,2012,Feb,361.1
454,2013,Feb,376.6
454,2014,Feb,400.2
454,2015,Feb,412.0
454,2016,Feb,428.5
454,2017,Feb,455.2
454,2018,Feb,461.7
454,2019,Feb,474.4
441,2009,Mar,1354.0
441,2010,Mar,1309.4
441,2011,Mar,1366.1
441,2012,Mar,1404.0
441,2013,Mar,1446.2
441,2014,Mar,1511.2
441,2015,Mar,1581.8
441,2016,Mar,1635.2
441,2017,Mar,1654.7
441,2018,Mar,1662.3
441,2019,Mar,1689.9
442,2009,Mar,372.7
442,2010,Mar,359.1
442,2011,Mar,360.8
442,2012,Mar,363.6
442,2013,Mar,367.0
442,2014,Mar,366.9
442,2015,Mar,381.2
442,2016,Mar,382.2
442,2017,Mar,390.5
442,2018,Mar,399.2
442,2019,Mar,408.2
443,2009,Mar,411.1
443,2010,Mar,416.0
443,2011,Mar,418.1
443,2012,Mar,412.5
443,2013,Mar,392.3
443,2014,Mar,393.6
443,2015,Mar,411.5
443,2016,Mar,420.8
443,2017,Mar,410.6
443,2018,Mar,400.3
443,2019,Mar,382.6
444,2009,Mar,963.2
444,2010,Mar,933.8
444,2011,Mar,932.9
444,2012,Mar,964.0
444,2013,Mar,979.3
444,2014,Mar,1004.3
444,2015,Mar,1018.1
444,2016,Mar,1059.6
444,2017,Mar,1053.3
444,2018,Mar,1129.0
444,2019,Mar,1108.3
445,2009,Mar,2486.5
445,2010,Mar,2454.8
445,2011,Mar,2461.6
445,2012,Mar,2492.2
445,2013,Mar,2521.4
445,2014,Mar,2580.3
445,2015,Mar,2642.8
445,2016,Mar,2656.1
445,2017,Mar,2670.8
445,2018,Mar,2653.4
445,2019,Mar,2677.2
446,2009,Mar,789.2
446,2010,Mar,782.2
446,2011,Mar,773.3
446,2012,Mar,799.2
446,2013,Mar,817.4
446,2014,Mar,814.2
446,2015,Mar,810.1
446,2016,Mar,815.3
446,2017,Mar,828.3
446,2018,Mar,832.1
446,2019,Mar,821.4
447,2009,Mar,701.1
447,2010,Mar,690.9
447,2011,Mar,695.2
447,2012,Mar,703.8
447,2013,Mar,715.6
447,2014,Mar,735.9
447,2015,Mar,757.7
